dataset,seed,backbone,n_train,n_val,n_test,d_model,e_layers,n_heads,patch_len,stride,backbone_val_mse,backbone_test_mse,best_epoch,scorer,val_spearman,test_spearman,top25_reduction,risk_coverage_auc,selected_hard,parr_neg_pool,strong_neg_count,elapsed_sec
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,PARR_rank,-0.2512390529562118,0.0678015918015918,-0.0133957862854003,-0.0418966710567474,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,PARR_plus_strong_rank,-0.5575789663158652,-0.0646215526215526,0.0637966990470886,0.0862873941659927,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,ridge_risk,-0.1706317545270181,0.133078141078141,-0.1154019832611084,-0.1235424578189849,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,full_ridge_risk,-0.2951130524522098,-0.0004572964572964,0.0073834061622619,-0.0032199770212173,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,gbdt_risk,-0.5874665621478803,0.0204915289614566,0.0611945986747741,0.0520093590021133,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,mlp_risk,-0.4377791271165084,0.0586035466035466,-0.0566790103912353,-0.04167440533638,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,knn_mean_risk,-0.2450448378225802,0.0191444452796459,0.1178009510040283,0.0844997018575668,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,knn_q90_risk,-0.3196551663501197,-0.1625214146936513,0.1724565029144287,0.1397392749786377,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,mahalanobis_ood,0.1749997719990879,-0.0649580449580449,-0.0298883914947509,-0.0091070532798767,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
Weather,13,PatchTST,3500,500,1000,64,2,4,16,8,0.5628778338432312,0.1895528882741928,5,full_mahalanobis_ood,0.0284630578522314,0.0309110109110109,-0.0643931627273559,-0.0132756680250167,False,"single_smooth,sign_linear,ridge_risk,single_period,single_channel,fixed_formula,single_spectral",20,16.147386700002244
