dataset,seed,backbone,n_train,n_val,n_test,d_model,e_layers,n_heads,patch_len,stride,backbone_val_mse,backbone_test_mse,best_epoch,scorer,val_spearman,test_spearman,top25_reduction,risk_coverage_auc,selected_hard,parr_neg_pool,strong_neg_count,elapsed_sec
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,PARR_rank,-0.5297236063126095,-0.028821088633197187,0.03139156103134155,0.030338600277900696,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,PARR_plus_strong_rank,-0.7527760898626711,0.07397883671370101,-0.005554914474487305,-0.006314441561698914,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,ridge_risk,-0.5251332488411257,-0.038377662229436754,0.033256709575653076,0.03545200824737549,True,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,full_ridge_risk,-0.719430892897446,0.17999741752351353,-0.03712153434753418,-0.027453094720840454,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,gbdt_risk,-0.9164566477839777,0.12427453933287148,-0.09706377983093262,-0.10898998379707336,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,mlp_risk,-0.534681157658987,-0.0838436798770828,0.048650503158569336,0.039513662457466125,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,knn_mean_risk,-0.611280276411123,0.03647802488715369,0.005364120006561279,-0.0009818077087402344,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,knn_q90_risk,-0.39316355692607524,0.1917414433044225,-0.11494839191436768,-0.06783786416053772,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,mahalanobis_ood,0.06430319970832825,0.0876372076267692,0.02317291498184204,0.018732905387878418,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,full_mahalanobis_ood,-0.07904824736540564,0.09629425474936956,-0.006510376930236816,0.00873616337776184,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,pca_reconstruction_ood,-0.011540130905050431,0.10400327258364836,-0.001413106918334961,0.003391966223716736,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
Traffic,13,PatchTST-small,1680,240,480,64,2,4,16,8,0.4228553771972656,0.5147624611854553,8,random,,0.04128652902139332,-0.052893757820129395,-0.035815536975860596,False,"single_channel,ridge_risk,fixed_formula,single_spectral,single_smooth,sign_linear,single_period",21,151.8626699000015
